Title,Description,Credits,Prerequisites
COMP SCI/L I S  102 — INTRODUCTION TO COMPUTING,"Provides a broad overview of computing at an introductory level, including topics such as security, robotics, and artificial intelligence. Increases understanding of how computers work and how algorithms solve problems. Design and implement creative applications in an introductory coding environment. Provides a broad overview of computing and algorithms without an emphasis on programming.",3 credits.,"MATH 96, MATH 141, MATH 118, COMP SCI 300 or COMP SCI 320"
COMP SCI 200 — PROGRAMMING I,"Learn the process of incrementally developing small (200-500 lines) programs along with the fundamental Computer Science topics. These topics include: problem abstraction and decomposition, the edit-compile-run cycle, using variables of primitive and more complex data types, conditional and loop-based flow control, basic testing and debugging techniques, how to define and call functions (methods), and IO processing techniques. Also teaches and reinforces good programming practices including the use of a consistent style, and meaningful documentation. Intended for students who have no prior programming experience.",3 credits.,None
COMP SCI 220 — DATA SCIENCE PROGRAMMING I,Introduction to Data Science programming using Python.  No previous programming experience required.  Emphasis on analyzing real datasets in a variety of forms and visual communication.,4 credits., COMP SCI 301
COMP SCI/MATH  240 — INTRODUCTION TO DISCRETE MATHEMATICS,"Basic concepts of logic, sets, partial order and other relations, and functions. Basic concepts of mathematics (definitions, proofs, sets, functions, and relations) with a focus on discrete structures: integers, bits, strings, trees, and graphs.  Propositional logic, Boolean algebra, and predicate logic. Mathematical induction and recursion. Invariants and algorithmic correctness. Recurrences and asymptotic growth analysis. Fundamentals of counting.",3 credits.,"MATH 217, MATH 221"
COMP SCI/E C E  252 — INTRODUCTION TO COMPUTER ENGINEERING,"Logic components built with transistors, rudimentary Boolean algebra, basic combinational logic design, basic synchronous sequential logic design, basic computer organization and design, introductory machine- and assembly-language programming.",3 credits.,None
COMP SCI 270 — FUNDAMENTALS OF HUMAN-COMPUTER INTERACTION,"User-centered software design including principles and methods for understanding user needs, designing and prototyping interface solutions, and evaluating their usability covered through lectures and hands-on in-class activities.  Meets with COMP SCI 570.",3 credits.,COMP SCI 570
COMP SCI 272 — INTRODUCTION TO WEB DEVELOPMENT,"Introduces methods and tools for creating/maintaining secure and interactive web content. Topics include programming fundamentals to support core web concepts, application development essentials, and content management systems. Web best practices - such as accessibility, design, and critical thinking about relevant ethics and organization. Covers practical skills to design and implement websites using popular scripting languages and frameworks, content management systems (CMSs), and related tools.",3 credits.,None
COMP SCI 298 — DIRECTED STUDY IN COMPUTER SCIENCE,Undergraduate directed study in computer sciences.,1-3 credits.,None
COMP SCI 300 — PROGRAMMING II,"Introduction to Object-Oriented Programming using classes and objects to solve more complex problems. Introduces array-based and linked data structures: including lists, stacks, and queues. Programming assignments require writing and developing multi-class (file) programs using interfaces, generics, and exception handling to solve challenging real world problems. Topics reviewed include reading/writing data and objects from/to files and exception handling, and command line arguments. Topics introduced: object-oriented design; class vs. object; create and define interfaces and iterators; searching and sorting; abstract data types (List,Stack,Queue,PriorityQueue(Heap),Binary Search Tree); generic interfaces (parametric polymorphism); how to design and write test methods and classes; array based vs. linked node implementations; introduction to complexity analysis; recursion.",3 credits.,"COMP SCI 200, COMP SCI 300, ECE 203, COMP SCI 367"
COMP SCI 304 — WES-CS GROUP MEETING,"Small group meetings for Wisconsin Emerging Scholars - Computer Science (WES-CS) students. Meets in small groups to work together on problems related to the COMP SCI 200 course material. For information about WES-CS membership, contact the computer sciences department.",0-1 credits.,COMP SCI 200
